feature,perm_macro_f1_drop_mean,perm_macro_f1_drop_std
emb_389,-4.0549125314948144e-05,7.72039622947635e-05
emb_132,-4.207934478921427e-05,0.00022993492193986993
emb_314,-4.435749105689002e-05,0.0004011860424139534
emb_56,-4.5173332576586844e-05,7.601778339894471e-05
emb_300,-4.965721664764722e-05,0.00016482140524238243
emb_126,-5.1964751170885394e-05,7.79464731486987e-05
emb_487,-5.226712083874485e-05,0.00041696740558183366
emb_200,-5.2517134292551226e-05,0.00018711599413577152
emb_282,-5.2916351481147037e-05,0.00023989146405866917
emb_125,-5.3151909738602396e-05,0.0002169858291006084
emb_186,-5.5454882953154264e-05,0.0001975605122955737
emb_65,-5.613466995901817e-05,0.00011436621595377549
emb_510,-5.8415849894211115e-05,0.0004023522061494137
emb_251,-6.519174888970358e-05,0.0001604421214316833
emb_309,-6.55171942490318e-05,0.00034765060284917034
emb_361,-6.759056218210712e-05,0.00036990078813960744
emb_214,-6.766939603999322e-05,0.00015879761466000932
emb_444,-6.833279709874684e-05,0.00040960437191482824
emb_166,-6.87906392563109e-05,0.0001375812785126218
emb_354,-7.209662764176005e-05,0.00013059482746437476
emb_279,-7.338836752177614e-05,0.00026862550006122445
emb_277,-7.489403254627991e-05,0.00013720084239145032
emb_204,-7.594304209994629e-05,0.0004789303666582434
emb_75,-7.655707266494006e-05,5.3391283293527686e-05
emb_387,-7.697804310418111e-05,4.966407719020425e-05
emb_419,-8.053603204587479e-05,0.00016767550632303387
emb_53,-8.082565691203136e-05,9.413993942438511e-05
emb_225,-8.262414761757153e-05,0.0001914270587615462
emb_376,-8.310699885865081e-05,0.0002458956647951741
emb_192,-8.334389771180728e-05,0.00026553987978722204
emb_86,-8.881896818480062e-05,0.00018481126664396608
emb_293,-9.15797153258735e-05,0.0001060358263703948
emb_320,-9.257454461035764e-05,0.0003725131740288357
emb_92,-9.28436203091243e-05,0.0004276697955240768
emb_398,-9.632236286905016e-05,0.0002719421315522151
emb_199,-9.797294026023807e-05,0.0003787795222036697
emb_13,-9.802686818745076e-05,0.0003368683448972155
emb_364,-0.00010001905172558611,0.0003627807599919452
emb_226,-0.00010266503786127146,0.00019016955517578259
emb_239,-0.00010813934406583847,0.0001531090377668661
emb_348,-0.0001083381136707473,5.864957371396878e-05
emb_209,-0.00010902135046308992,0.00015663188572214465
emb_273,-0.00011035823706668779,0.00024228708016874772
emb_117,-0.00011190162276393245,0.0006477548595407582
emb_345,-0.00011430981729319001,0.00037808186883603464
emb_403,-0.00011935588193732194,0.0002181663824579401
emb_311,-0.00011971499473955039,0.0001576284129118884
emb_276,-0.00011999477137403236,0.0001363761017774537
emb_121,-0.00012108540078044072,0.0006714319721101751
emb_169,-0.00012229609810907594,3.1228029471172207e-05
emb_259,-0.00012240284323155047,0.0003584571122880885
emb_71,-0.00012250539013245466,0.00032949962130226915
emb_388,-0.00012329300901046115,2.9239123192228183e-05
emb_172,-0.00012334853822186797,0.0002934661760630643
emb_262,-0.0001239964245491665,0.00010833575690237625
emb_270,-0.00012597999380501435,0.0002584761116966608
emb_111,-0.00012643490159389704,0.00018516951718557296
emb_288,-0.0001270275563977963,0.0002856633587805679
emb_395,-0.00012739302619877436,0.00022919746178344787
emb_422,-0.0001292068596775664,0.00016780265695051167
emb_223,-0.00013099771691582607,0.00010092170135691286
emb_36,-0.00013355417228517742,0.00031581002940956097
emb_153,-0.00013525249909613902,0.0001998768087980072
emb_42,-0.00013660475451238163,2.79294585319697e-05
emb_473,-0.0001377135722355316,0.00022866299295575725
emb_107,-0.00013874063407888216,0.00025111799701864486
emb_80,-0.00013884137219573046,7.880094922802442e-05
emb_450,-0.00014068148507846435,0.00012520324870046569
emb_378,-0.0001407219120639347,0.00021574488256219726
emb_415,-0.00014150481700920815,0.000223825766106266
emb_477,-0.00014154327375390797,0.00014961750415006607
emb_34,-0.00014259238179483713,1.5868384926618515e-05
emb_114,-0.00014261696191668615,0.00042137487529429545
emb_407,-0.0001432289690457056,0.0002366045742901595
emb_334,-0.00014383500658228244,0.00014504464879283076
emb_175,-0.00014386851026781944,0.0006129595632152695
emb_465,-0.00014416708341127293,0.00026777851971471347
emb_191,-0.0001449718073494255,0.00017059001242495243
emb_396,-0.00014919694368129566,0.00032487115880928773
emb_127,-0.00014977983100787905,0.0005254941173911854
emb_379,-0.00015398774346888632,0.0001428997924197168
emb_69,-0.00015698377386705876,0.00016669590335655372
emb_250,-0.00015767254189904544,0.0002809811268618446
emb_299,-0.00015944471048690012,0.00043519335298501866
emb_405,-0.00015955784476291425,9.95923774126578e-05
emb_194,-0.00016101968316069027,0.00014404394149333122
emb_18,-0.00016165987373955025,0.00018644482094876371
emb_252,-0.0001625635485446919,0.0001714368092355421
emb_168,-0.00016285912896707444,0.0003501913964071858
emb_93,-0.00016552088905037455,0.00012733503542945425
emb_119,-0.0001668654181607776,0.00026828698538100993
emb_447,-0.00016869520281523887,0.00025586970504322035
emb_106,-0.0001687261253690453,0.0001505835467857801
emb_19,-0.00017094469035117132,0.00011364356497017905
emb_205,-0.00017151791906149237,0.0002445487025501161
emb_472,-0.00017601001591240894,0.0005663142511392751
emb_246,-0.00017706981365634978,0.0005820935351274276
emb_158,-0.00017763256639768965,0.00022344711770545708
emb_137,-0.00017780107676053093,0.00028372817551491854
emb_63,-0.0001784972178848321,0.00020975023451388534
emb_236,-0.00017862720902441786,0.0003760965419394929
emb_373,-0.00018201610819241766,0.00023027653405207623
emb_88,-0.0001824530673417035,0.00010063402523407969
emb_254,-0.0001829291997526017,0.0002836531303250224
emb_170,-0.000184380853039956,0.00031640018145603953
emb_184,-0.00018456976401610704,9.963703860532514e-05
emb_491,-0.0001856112719755165,0.00020769107034215937
emb_446,-0.00018678608880215997,0.0001465440133523529
emb_181,-0.00018762644003018637,0.00016784982852429333
emb_499,-0.00018812662234519718,8.986605368645496e-05
emb_362,-0.00018854694018477502,0.0002657642094757963
emb_165,-0.0001895015161283764,0.0002569891830811054
emb_390,-0.00019132586120962358,0.00018811984646617975
emb_55,-0.00019429712023131263,0.0003448043484634861
emb_217,-0.00019481392564775214,0.0002933872516441827
emb_116,-0.00019575693657072346,0.00019990250825997183
emb_131,-0.0001980957321090715,6.880702298720995e-05
emb_173,-0.0001988967510681672,0.0002721234787794669
emb_304,-0.00019932221188316833,0.00041887931730818384
emb_52,-0.00020288478135777055,0.00025512754200196643
emb_212,-0.0002056507592361534,0.0002358265226700058
emb_151,-0.00020569315128895482,0.0002941823681997804
emb_59,-0.00020653853082053253,0.00027907116468359265
